Name,Summary,Daniel Notes,Sample Prompt,Link,Function,Impact Specific?,Potential Utility (0-5),Performance Rating (0-5),Purpose,Timestamp
Meeting Minutes Recorder,Records and organizes minutes of meetings automatically.,Ditto. Set this up so that you can log notes on the go or afterwards. Reformats them so that you can capture them elsewhere.,,https://chatgpt.com/g/g-VspVSDA3O-meeting-minutes-assistant,,,,,Work tool,2024-07-13 23:03:05+00:00
Monetised GHG Emissions Simulator (Carbon Pricing),A GPT which models financial accounts based upon two recently proposed options for the social cost of carbon,Baked in the IFVI rate of $236/tonne. Another direction would be to calculate the EPA rate too and then compute the difference,"Can you please extract figures from this report and simulate a ""monetisation"" of the emissions data? Can you output that data as text and as CSV?",https://chatgpt.com/g/g-55PLL6ojy-monetised-ghg-emissions-simulator-carbon-pricing,,Y,,,Research Assistance,2024-07-17 23:48:00+00:00
New Statistics Locator,A GPT which attempts to identify new statistics which might be of interest to the user,,We're using this stat [stat]. Is an updated number available?,https://chatgpt.com/g/g-qwvNtPbrR-new-statistics-locator,,,,,Research Assistance,2024-07-18 21:27:34+00:00
Open Data Finder,Finds open source datasets based on user queries.,Developed to try to improve discovery of sustainability related open datasets,Can you please try to list open datasets that have to do with climate change tracking and which were published over the past 6 months? Please divide the output between national governments and multilateral organisations,https://chatgpt.com/g/g-3iG0XaYeM-open-data-finder,,,,,Data Discovery,2024-07-13 23:05:27+00:00
Organisation Relationship Finder,A GPT to help map out relationships between organisations and identify associated organisations,"Actually one of the GPTs I'm more excited about. My idea was to use this to dredge up the ""long tail"" of orgs that are easy to miss",I'm interested in the work that [org] is doing around [focus area]. Can you suggest 50 related organisations which it might be worth engaging with?,https://chatgpt.com/g/g-vTrVsc1o4-organisation-relationship-finder,,,,,Organisation,2024-07-13 21:25:35+00:00
Quick Email Template Generator,A GPT for creating email templates when you need to repeat similar content in multiple emails,For day to day use very useful,,https://chatgpt.com/g/g-XyhXTABJP-quick-email-template-generator,,,,,Productivity,2024-07-17 23:52:20+00:00
Recent Report Finder,A GPT for finding recently published reports within a user's area of interest,Worth trying. My idea was to find reports with this and then summarise in the summariser as a way of keeping on top of the ever growing body of research and reports in the space,Can you please identify recent reports about [topic]?,https://chatgpt.com/g/g-28mgr7MNJ-recent-report-finder,,,,,Research Assistance,2024-07-18 20:45:14+00:00
Regulation & Policy Comparison Assistant,A GPT to compare different policies and regulations,Thought this one could be fun to play around with for producing simple comparisons of things like SFDR vs. SEC or SEC vs California reg,"Can you prepare a briefing document summarising the various instruments governing financial sustainability disclosures affecting companies in Europe, please?",https://chatgpt.com/g/g-bRtrixyRZ-regulation-policy-comparison-assistant,,,,,Productivity,2024-07-14 00:42:51+00:00
Report Summariser,A GPT which summarises reports with a particular focus on data and statistics contained in them,Attempts to summarise reports intelligently,Please produce a summary of this report,https://chatgpt.com/g/g-ahPy64tkD-report-summariser,,,,,Research Assistance,2024-07-18 21:11:39+00:00
Stat Update Helper,Helps users update old statistics with reliable new data.,,,https://chatgpt.com/g/g-1YeLaQ3PR-stat-update-helper,,,,,Work tool,2024-07-18 00:00:20+00:00
Sustainability Report Finder,A research utility for discovering sustainability reports,,,https://chatgpt.com/g/g-UD4XLw4aA-sustainability-report-finder,,,,,Work tool,2024-07-14 00:37:51+00:00
Sustainable Living Advisor,A GPT which provides concrete sustainable living recommendations based upon user requests,,,https://chatgpt.com/g/g-QO1EZ82Az-sustainable-living-advisor,,,,,Research Assistance,2024-07-17 23:47:29+00:00
The Checklist Pro,"Generates tailored checklists to ensure safety, preparedness, and completeness for various activities and contexts.",,Can you generate a checklist that I can use before a weekly catch up meeting?,https://chatgpt.com/g/g-xE1MjiydB-checklist-pro,,,,,Organisation,2024-07-12 19:39:50+00:00
The Professional Skeptic,A GPT designed to probe claims and push sources,,Take a look at this document and suggest some flaws in the logic or claims to be wary of,https://chatgpt.com/g/g-lWV9aFBg2-the-professional-skeptic,,,,,Organisation,2024-07-13 23:15:10+00:00
Weekly Work Planner,Helps the user formulate a weekly work plan,,,https://chatgpt.com/g/g-s5M34exEU-weekly-work-planner,,,,,Organisation,2024-07-14 00:21:27+00:00
